tasks,method,journal,label,field,field2,rjournal,ryear,rdoi,jid,type,year,wos_doi,arxiv_id,lag
[],[],scientometrics,2.0,['Computer Science'],['Psychology'],Scientometrics,2018.0,10.1007/s11192-019-03110-2,32.0,Article,2022.0,10.1007/s11192-022-04358-x,,4.0
[],[],scientometrics,2.0,['Computer Science'],['Psychology'],Scientometrics,2018.0,10.1007/s11192-019-03110-2,32.0,Article,2022.0,10.1007/s11192-022-04286-w,,4.0
[],[],scientometrics,2.0,['Computer Science'],['Psychology'],Scientometrics,2018.0,10.1007/s11192-019-03110-2,32.0,Article,2021.0,10.1007/s11192-021-04027-5,,3.0
[],[],journal of information science,2.0,['Computer Science'],['Psychology'],Scientometrics,2018.0,10.1007/s11192-019-03110-2,30.0,Article; Early Access,2022.0,10.1177/01655515221111000,,4.0
['Domain Adaptation'],[],ethics and information technology,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],ArXiv,2018.0,10.1007/978-3-030-01768-2_14,22.0,Article,2021.0,10.1007/s10676-021-09608-9,,3.0
"['Multimodal Emotion Recognition', 'Multimodal Sentiment Analysis', 'Sentiment Analysis']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],Knowl. Based Syst.,2018.0,10.1016/j.knosys.2018.07.041,10.0,Article,2022.0,10.1016/j.ipm.2022.102929,,4.0
"['Multimodal Emotion Recognition', 'Multimodal Sentiment Analysis', 'Sentiment Analysis']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],Knowl. Based Syst.,2018.0,10.1016/j.knosys.2018.07.041,10.0,Article,2020.0,10.1016/j.ipm.2019.102141,,2.0
['Fairness'],[],information systems journal,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],,2018.0,10.4230/lipics.itcs.2019.33,6.0,Article,2022.0,10.1111/isj.12370,,4.0
"['Classification', 'Fairness', 'General Classification']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],"Proceedings of the Conference on Fairness, Accountability, and Transparency",2018.0,10.1145/3287560.3287586,10.0,Article,2021.0,10.1016/j.ipm.2021.102711,,3.0
"['Classification', 'Fairness', 'General Classification']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],"Proceedings of the Conference on Fairness, Accountability, and Transparency",2018.0,10.1145/3287560.3287586,10.0,Article,2021.0,10.1016/j.ipm.2021.102646,,3.0
"['Classification', 'Fairness', 'General Classification']",[],journal of information technology,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],"Proceedings of the Conference on Fairness, Accountability, and Transparency",2018.0,10.1145/3287560.3287586,12.0,Article,2021.0,10.1177/02683962211010356,,3.0
"['Image Retrieval', 'Retrieval', 'TAG', 'Weakly-supervised Learning']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2018.0,10.1109/cvpr.2019.01062,10.0,Article,2020.0,10.1016/j.ipm.2020.102374,,2.0
"['Image Retrieval', 'Retrieval', 'TAG', 'Weakly-supervised Learning']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2018.0,10.1109/cvpr.2019.01062,10.0,Article,2020.0,10.1016/j.ipm.2020.102315,,2.0
"['Gesture-to-Gesture Translation', 'Image Generation', 'Person Re-Identification', 'Pose Transfer']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,2017.0,10.1109/cvpr.2018.00018,10.0,Article,2020.0,10.1016/j.ipm.2020.102276,,3.0
['Computational Phenotyping'],['Interpretability'],journal of the american medical informatics association,0.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE/ACM Transactions on Computational Biology and Bioinformatics,2018.0,10.1109/tcbb.2018.2849968,21.0,Article,2022.0,10.1093/jamia/ocac063,,4.0
